NAME;HS-CV-SCORE;HS-CV-PM;HS-Time;TE-BIN-CV-SCORE;TE-BIN-CV-PM;TE-BIN-Time;TE-CON-CV-SCORE;TE-CON-CV-PM;TE-CON-Time;HS-RANK;TE-RANK
Logistic Regression;0.840;0.006270;0,192;0.732;0.011;1,648;0.678;0.014;44,967;2;4
NaiveBayes;0.833;0.007396;0,011;0.695;0.018;0,041;0.330;0.010;8,239;4;6
SVM;0.852;0.005337;76,769;0.731;0.015;21,414;0.687;0.009;1.328,920;1;5
RandomForestClassifier;0.826;0.007681;33,651;0.760;0.020;13,615;0.569;0.013;145,415;5;1
DecisionTreeClassifier;0.768;0.001775;10,947;0.737;0.026;3,211;0.593;0.014;40,647;6;3
RidgeClassifier;0.836;0.004234;0,060;0.740;0.015;0,113;0.678;0.010;139,191;3;2
